industry,reporting_topic,Count,label,meta_theme,share_reporting_comments
law,17,40,Cross-professional comparisons of AI substitution,Acceptable delegation and boundaries of use,0.009813542688910697
law,18,40,"Copyright, authorship and licensing of AI-generated works","Creativity, authorship and content legitimacy",0.009813542688910697
software_engineering,0,2291,"LLM reasoning, memory and intelligence",AI capabilities and conceptual boundaries,0.2114834302593926
software_engineering,1,1208,"AI-assisted programming, debugging and documentation",Augmentation and productivity,0.11151112341918212
software_engineering,2,805,GitHub Copilot as a coding assistant,AI tools and coding workflows,0.07430997876857749
software_engineering,3,705,"Code generation, debugging and dependence on AI",Acceptable delegation and boundaries of use,0.06507892550540016
software_engineering,4,639,"Automation, productivity and software workforce restructuring",Occupational displacement and job security,0.05898643035170313
software_engineering,16,594,"GPT model capability, scaling and coding performance",AI capabilities and conceptual boundaries,0.05483245638327333
software_engineering,5,550,AI agents and the changing boundaries of programming expertise,Acceptable delegation and boundaries of use,0.05077079294747531
software_engineering,17,339,"AI use, cheating and learning in computing education","Education, training and deskilling",0.03129327056217114
software_engineering,7,305,"Degrees, reskilling and entry into AI and data-science careers","Education, training and deskilling",0.028154712452690852
software_engineering,8,241,"Vibe coding, maintainability and professional expertise",Professional responsibility and software quality,0.022246838364257362
software_engineering,11,225,Junior developer displacement and the senior talent pipeline,Occupational displacement and job security,0.02076986984214899
software_engineering,12,202,"Defining AI, machine learning and generative AI",AI capabilities and conceptual boundaries,0.018646727591618204
software_engineering,13,190,"AI-era software hiring, interviews and recruitment",Occupational displacement and job security,0.017539001200036923
software_engineering,20,178,"Productivity gains, adoption pressure and overreliance",Augmentation and productivity,0.016431274808455645
software_engineering,15,172,"AI search, Google substitution and trust in answers",Communication and information practices,0.015877411612665007
software_engineering,18,150,Claude Code and agentic development workflows,AI tools and coding workflows,0.013846579894765993
software_engineering,19,144,"AI-assisted CAD, drafting and engineering design",Industry-specific applications,0.013292716698975353
software_engineering,29,143,"Next-token prediction, intelligence and model understanding",AI capabilities and conceptual boundaries,0.01320040616634358
software_engineering,21,119,"Copyright, plagiarism and AI-generated content","Creativity, authorship and content legitimacy",0.01098495338318102
software_engineering,22,116,The calculator analogy: AI as augmentation rather than expertise,Augmentation and productivity,0.010708021785285701
software_engineering,23,111,Mathematics and foundational learning for AI and ML careers,"Education, training and deskilling",0.010246469122126834
software_engineering,24,108,"Engineering education, critical thinking and AI overreliance","Education, training and deskilling",0.009969537524231515
software_engineering,25,106,"AI-generated code review, ownership and accountability",Professional responsibility and software quality,0.009784916458967969
software_engineering,27,100,"AGI, OpenAI governance and future developer displacement","Governance, ethics and societal risk",0.009231053263177328
software_engineering,28,96,Replacement narratives and pressure to adopt AI,Occupational displacement and job security,0.008861811132650235
software_engineering,30,92,"Developer skill retention, architecture and AI-assisted productivity","Education, training and deskilling",0.008492569002123142
software_engineering,32,85,"AI data centres, energy use and water consumption",Environmental and infrastructure impacts,0.00784639527370073
software_engineering,34,81,Web-development automation and occupational change,Occupational displacement and job security,0.007477153143173636
software_engineering,35,80,AI-mediated workplace communication and cognitive effects,Communication and information practices,0.007384842610541863
software_engineering,36,80,"AI hype, investment and the dot-com bubble analogy",Market hype and political economy,0.007384842610541863
software_engineering,37,71,AI in mechanical and industrial engineering practice,Industry-specific applications,0.006554047816855904
software_engineering,39,64,"AI slop, content quality and human creativity","Creativity, authorship and content legitimacy",0.00590787408843349
software_engineering,40,60,"Superintelligence, existential risk and human obsolescence","Governance, ethics and societal risk",0.005538631957906397
software_engineering,41,60,"Autocomplete, boilerplate and narrow coding assistance",AI tools and coding workflows,0.005538631957906397
software_engineering,42,60,"Speech-to-text, summarisation and bot-like communication",Communication and information practices,0.005538631957906397
software_engineering,43,60,"Ethical responsibility, security and ownership of AI-generated code",Professional responsibility and software quality,0.005538631957906397
software_engineering,45,52,"AI risk narratives, fear and present-day harms","Governance, ethics and societal risk",0.004800147696852211
software_engineering,46,51,Web-development versus machine-learning career pathways,"Education, training and deskilling",0.004707837164220438
software_engineering,49,50,"AI-generated tests, verification and software quality",Professional responsibility and software quality,0.004615526631588664
software_engineering,50,50,"Historical automation, innovation and the future of coding",Occupational displacement and job security,0.004615526631588664
